unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,chunk_binding_sha256,mode,intensity,structural_plan_status,structural_semantic_review_status,paired_quality_review_status,rewrite_intent_status,transaction_id,transaction_status,owner_chunk,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes,unresolved_codes_json
U-218755c1380f,F00001,(front-matter),1,1,64,64,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,25de79d7b7735a25609228b6e08fb40b74247627ccf45d4fe4c0350a13628524,REWRITE,BALANCED,NOT_RUN,,,,,,U-218755c1380f,,U-b5c30d3ca9bd,280,34,UNRESOLVED,f9e9d58fa33c29fab03679337304946759e6f04bbab257654ba4f359187795b9,,,NOT_RUN,NOT_RUN,environment:TEX_MACRO_DEFINITION_UNSUPPORTED: TeX macro definitions cannot be authenticated statically,"[""PREPARE_UNRESOLVED""]"
U-b5c30d3ca9bd,F00001,研究边界、证据与处理方法,1,65,72,8,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,3e7846a82fe2e64f843c7c73d29732aa521a97a56e96472e1a1c7c68369a239a,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-b5c30d3ca9bd,U-218755c1380f,U-49a34aee86bf,145,3,DONE,0e43454995566747e856da123a4cb4b065a565a1cb91421843b2dc69379f9711,438a623acfcb51c34cd56c02eda418cf6326bb5b116e494e4a734a63cc6da61e,diffs\U-b5c30d3ca9bd.diff,PASS,PASS,,[]
U-49a34aee86bf,F00001,研究边界、证据与处理方法 / 语料边界,1,73,105,33,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,89d60785219f5df13238b931f9079e97cc78c96cf9a756fef88710baaf3cb6ed,REWRITE,BALANCED,NOT_APPLICABLE,NOT_REQUIRED,PENDING_EXTERNAL_REVIEW,PASS,,,U-49a34aee86bf,U-b5c30d3ca9bd,U-94a28b23042d,213,28,NO_CHANGE,80ef51b01c0cadcea6fd2d8bccad67e53cf2fd89f3a6f792573c4684ca1fa390,80ef51b01c0cadcea6fd2d8bccad67e53cf2fd89f3a6f792573c4684ca1fa390,,PASS,PASS,研究边界、证据与处理方法 / 语料边界中的定义、对象和条件承担后续对应关系，原句保持这些信息的排列与范围。,[]
U-94a28b23042d,F00001,研究边界、证据与处理方法 / 页面识别与证据记录,1,106,127,22,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,51d87538b7078ec8897512be7d0bc87616fe616685507c76995676048485330f,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-94a28b23042d,U-49a34aee86bf,U-56ba57ed5d8e,467,3,DONE,dc4d4d48a90baac6601e61c5333a4d082e49b3c99eb326dca1d2c08d5f97082e,2a18da59a51ec6b4b4db759bbe31c4c112e759baeeb9a9a451af8b39b0e6e2a1,diffs\U-94a28b23042d.diff,PASS,PASS,,[]
U-56ba57ed5d8e,F00001,六年真题任务图谱与人员分工,1,128,129,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,4d5fe43969ea4097ff16dedba3ed1143150d82fffb576ba1535ad02ce22941c9,REWRITE,BALANCED,NOT_RUN,,,,,,U-56ba57ed5d8e,U-94a28b23042d,U-48cb61020967,0,1,SKIPPED_PROTECTED,a801dc7c9ce2be4a5b22bac6b6817fa7a56dd6d15488a7357ddbaf5d2a0b2b21,,,NOT_RUN,NOT_RUN,,[]
U-48cb61020967,F00001,六年真题任务图谱与人员分工 / 十八道真题的训练定位,1,130,166,37,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,a3bb4bff1c85d45529f5188e3c3f9eb0016e89ae105c54382b76575ab4960537,REWRITE,BALANCED,NOT_APPLICABLE,NOT_REQUIRED,PENDING_EXTERNAL_REVIEW,PASS,,,U-48cb61020967,U-56ba57ed5d8e,U-24139d897c83,802,35,NO_CHANGE,08fbf22042e6927deed11e74f9c0fe8e8438311a41586d29b2f43b6337d488a1,08fbf22042e6927deed11e74f9c0fe8e8438311a41586d29b2f43b6337d488a1,,PASS,PASS,六年真题任务图谱与人员分工 / 十八道真题的训练定位中的定义、对象和条件承担后续对应关系，原句保持这些信息的排列与范围。,[]
U-24139d897c83,F00001,六年真题任务图谱与人员分工 / 四块学习结构,1,167,175,9,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,c58c4936e9498fa0ffda10ef744f53c57e6c2d0b2a7b2141e752c58427f1c626,REWRITE,BALANCED,NOT_APPLICABLE,NOT_REQUIRED,PENDING_EXTERNAL_REVIEW,PASS,,,U-24139d897c83,U-48cb61020967,U-4738fc099daa,156,2,NO_CHANGE,3f4ae6b5cffaafb719838b69aebcd416ba9e176850c67b2ce9afb48233006f68,3f4ae6b5cffaafb719838b69aebcd416ba9e176850c67b2ce9afb48233006f68,,PASS,PASS,六年真题任务图谱与人员分工 / 四块学习结构中的定义、对象和条件承担后续对应关系，原句保持这些信息的排列与范围。,[]
U-4738fc099daa,F00001,理论知识学习笔记,1,176,177,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,9b357f88ff38a8c55631c66805ba27df64981905bd2036d69be05fb55cf33b5c,REWRITE,BALANCED,NOT_RUN,,,,,,U-4738fc099daa,U-24139d897c83,U-e655d36642df,0,1,SKIPPED_PROTECTED,698ee52da61122fb7e84cf99b57e6ddcc65fd090410817a4d8af58d7e56f39e2,,,NOT_RUN,NOT_RUN,,[]
U-e655d36642df,F00001,理论知识学习笔记 / 队长：机理、连续模型与数值实现,1,178,179,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,59c66e30eff3a6a9f0ecc09a0016edab416e5be934009b6aab111095e67318c3,REWRITE,BALANCED,NOT_RUN,,,,,,U-e655d36642df,U-4738fc099daa,U-17d432b80a9c,0,1,SKIPPED_PROTECTED,a783d3a31cb876d577a4e1308dc3f09ecf84c9340894d9e347dd9756a1192fed,,,NOT_RUN,NOT_RUN,,[]
U-17d432b80a9c,F00001,理论知识学习笔记 / 队长：机理、连续模型与数值实现 / 覆盖内容、原理与求解步骤,1,180,205,26,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,a26df77857f9e982448e8450a35513a948e527c9a86c92ce30b401e1afb529fe,REWRITE,BALANCED,NOT_APPLICABLE,NOT_ISSUED,PENDING_EXTERNAL_REVIEW,PASS,,,U-17d432b80a9c,U-e655d36642df,U-73162cc69d3a,489,10,DONE,d803997805f65e52e7fb6523c345d7bd10ad7d9ae631a2326f6b7b890f94867e,c4b8b69e394bc9d4c6df3d196a6539f54ed64341834221c196f13fbc2ca5e35e,diffs\U-17d432b80a9c.diff,PASS,PASS,,[]
